gene_id,gene_symbol,true_label,protein_score,genomic_score,fusion_score_mean,protein_pred_default_0_5,protein_pred_tuned_f1,genomic_pred_default_0_5,genomic_pred_balanced_0_518,fusion_pred_default_0_5,protein_correct,genomic_correct,cross_modality_group
ENSG00000007314,SCN4A,1,0.8163737867166938,0.4157891642898172,0.6160814755032555,1,1,0,0,1,True,False,protein_correct_genomic_wrong
ENSG00000100170,SLC5A1,1,0.7267270292514609,0.4826926746992062,0.6047098519753336,1,1,0,0,1,True,False,protein_correct_genomic_wrong
ENSG00000076864,RAP1GAP,1,0.6617053678101278,0.4580361666080155,0.5598707672090717,1,1,0,0,1,True,False,protein_correct_genomic_wrong
ENSG00000087299,L2HGDH,1,0.6233580086109929,0.4264104170191199,0.5248842128150564,1,1,0,0,1,True,False,protein_correct_genomic_wrong
ENSG00000144218,AFF3,1,0.5309385452218998,0.3682536719008991,0.4495961085613994,1,1,0,0,0,True,False,protein_correct_genomic_wrong
ENSG00000184381,PLA2G6,1,0.4786627585765061,0.3545477501012851,0.4166052543388956,0,1,0,0,0,True,False,protein_correct_genomic_wrong
ENSG00000198793,MTOR,1,0.4474265365144979,0.38669159181236,0.41705906416342897,0,1,0,0,0,True,False,protein_correct_genomic_wrong
ENSG00000197959,DNM3,1,0.4242803986518121,0.4456027437370126,0.43494157119441235,0,1,0,0,0,True,False,protein_correct_genomic_wrong
ENSG00000128805,ARHGAP22,1,0.3791896060402066,0.4202606210529228,0.3997251135465647,0,1,0,0,0,True,False,protein_correct_genomic_wrong
ENSG00000173679,OR1L1,0,0.2304056676929389,0.5121826534938757,0.3712941605934073,0,0,1,0,0,True,False,protein_correct_genomic_wrong
