datasource,non_null_count,coverage_pct,mean_score_when_present
ds_europepmc,8228,82.63533192728734,0.14441285363303455
ds_gwas_credible_sets,3387,34.01626996083157,0.29048043574895804
ds_impc,227,2.279803153560309,0.4169717648314739
ds_clinical_precedence,208,2.088982625288742,0.49433294289867113
ds_expression_atlas,175,1.7575574972381238,0.01672416355755554
ds_eva,47,0.47202972782966757,0.4520458810227548
ds_uniprot_literature,21,0.21090689966857487,0.4631853696088543
ds_gene_burden,16,0.16069097117605705,0.39547536970073954
ds_genomics_england,13,0.13056141408054636,0.7999149667586605
ds_uniprot_variants,10,0.10043185698503565,0.4137306817079088
ds_eva_somatic,8,0.08034548558802852,0.3032648747255104
