target_id,target_symbol,target_name,association_score,positive_tier,label,label_name,label_source,label_rule,label_version,disease_id,disease_name
ENSG00000187486,KCNJ11,potassium inwardly rectifying channel subfamily J member 11,0.8651421397012851,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
ENSG00000006071,ABCC8,ATP binding cassette subfamily C member 8,0.8648497626926691,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
ENSG00000106633,GCK,glucokinase,0.8612340179356642,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
ENSG00000132170,PPARG,peroxisome proliferator activated receptor gamma,0.8486094742593474,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
ENSG00000171105,INSR,insulin receptor,0.7887370813323916,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
ENSG00000275410,HNF1B,HNF1 homeobox B,0.7845862621103779,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
ENSG00000135100,HNF1A,HNF1 homeobox A,0.7796412149128071,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
ENSG00000101076,HNF4A,hepatocyte nuclear factor 4 alpha,0.7763132041013777,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
ENSG00000109501,WFS1,wolframin ER transmembrane glycoprotein,0.7695112851857363,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
ENSG00000112164,GLP1R,glucagon like peptide 1 receptor,0.7667004144705459,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
ENSG00000163581,SLC2A2,solute carrier family 2 member 2,0.7421463864988622,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
ENSG00000105221,AKT2,AKT serine/threonine kinase 2,0.7175050307656363,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
ENSG00000115159,GPD2,glycerol-3-phosphate dehydrogenase 2,0.7068921905305894,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
ENSG00000164756,SLC30A8,solute carrier family 30 member 8,0.6974093822415375,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
ENSG00000148737,TCF7L2,transcription factor 7 like 2,0.6772682024701681,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
ENSG00000106331,PAX4,paired box 4,0.6761979218577042,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
ENSG00000164258,NDUFS4,NADH:ubiquinone oxidoreductase subunit S4,0.6749684045061369,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
ENSG00000010310,GIPR,gastric inhibitory polypeptide receptor,0.6743302170705993,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
ENSG00000162992,NEUROD1,neuronal differentiation 1,0.671465857855922,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
ENSG00000198888,MT-ND1,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1,0.6556905258463207,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
ENSG00000197594,ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,0.6538895558580068,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
ENSG00000197635,DPP4,dipeptidyl peptidase 4,0.6432827162361505,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
ENSG00000213619,NDUFS3,NADH:ubiquinone oxidoreductase core subunit S3,0.6427179016186971,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
ENSG00000053918,KCNQ1,potassium voltage-gated channel subfamily Q member 1,0.6355195912918692,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
ENSG00000140675,SLC5A2,solute carrier family 5 member 2,0.6351936842498059,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
ENSG00000113161,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,0.6342492877983139,Tier_A_high_confidence_ge_0.50,1,T2D_positive,Open Targets Platform,OpenTargets_association_score_ge_0.30,Positive_Label_v1,MONDO_0005148,type 2 diabetes mellitus
